Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.76030480000000,0.01500000000000,3.20210000000000,1,Hardware: Independent Flip,0.15880000000000,0.15880000000000,3.13690000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.76334690000000,0.01010000000000,3.04210000000000,1,Hardware: Independent Flip,0.13840000000000,0.13840000000000,3.02170000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.76647120000000,0.01090000000000,3.12430000000000,1,Hardware: Independent Flip,0.17300000000000,0.17300000000000,3.15890000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.76960970000000,0.01040000000000,3.13850000000000,1,Hardware: Independent Flip,0.13680000000000,0.13680000000000,3.10230000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.77267140000000,0.01130000000000,3.06170000000000,1,Hardware: Independent Flip,0.14150000000000,0.14150000000000,3.06640000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.77583060000000,0.01100000000000,3.15920000000000,1,Hardware: Independent Flip,0.13650000000000,0.13650000000000,3.15420000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.77902890000000,0.01850000000000,3.19830000000000,1,Hardware: Independent Flip,0.14370000000000,0.14370000000000,3.20550000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.78219810000000,0.01100000000000,3.16920000000000,1,Hardware: Independent Flip,0.18820000000000,0.18820000000000,3.21370000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.78542300000000,0.01090000000000,3.22490000000000,1,Hardware: Independent Flip,0.13930000000000,0.13930000000000,3.17600000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.78854030000000,0.01040000000000,3.11730000000000,1,Hardware: Independent Flip,0.14000000000000,0.14000000000000,3.11800000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.79160690000000,0.01020000000000,3.06660000000000,1,Hardware: Independent Flip,0.13530000000000,0.13530000000000,3.06190000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.79473510000000,0.01050000000000,3.12820000000000,1,Hardware: Independent Flip,0.13620000000000,0.13620000000000,3.12910000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.79795040000000,0.02330000000000,3.21530000000000,1,Hardware: Independent Flip,0.14480000000000,0.14480000000000,3.22390000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.80113590000000,0.00990000000000,3.18550000000000,1,Hardware: Independent Flip,0.17960000000000,0.17960000000000,3.22030000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.80436340000000,0.01040000000000,3.22750000000000,1,Hardware: Independent Flip,0.14300000000000,0.14300000000000,3.19090000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.80748860000000,0.01050000000000,3.12520000000000,1,Hardware: Independent Flip,0.13690000000000,0.13690000000000,3.11910000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.81055860000000,0.01000000000000,3.07000000000000,1,Hardware: Independent Flip,0.13520000000000,0.13520000000000,3.06830000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.81361960000000,0.00990000000000,3.06100000000000,1,Hardware: Independent Flip,0.13740000000000,0.13740000000000,3.06320000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.81677340000000,0.01060000000000,3.15380000000000,1,Hardware: Independent Flip,0.17840000000000,0.17840000000000,3.19480000000000
